#group,false,false,false,false,false,false,false,false
#datatype,string,double,string,double,double,double,dateTime:RFC3339,long
#default,,,,,,,,
,device,humidity,location,noise_db,pressure,temperature,time,wifi_rssi
,heltec_v3,53.24,window,66.64,1023.82,15.65,2026-03-08T01:34:41.336436261Z,-43
,heltec_v3,52.62,window,65.63,1023.77,15.83,2026-03-08T01:35:11.962382056Z,-44
,heltec_v3,52.22,window,65.93,1023.79,15.42,2026-03-08T01:35:42.608954728Z,-42
,heltec_v3,53.66,window,74.2,1023.8,15.34,2026-03-08T01:36:13.258072867Z,-42
,heltec_v3,53.09,window,71.38,1023.79,15.5,2026-03-08T01:36:43.900905364Z,-43
,heltec_v3,53.43,window,64.73,1023.81,15.33,2026-03-08T01:37:14.581412387Z,-43
,heltec_v3,52.79,window,67.97,1023.81,15.33,2026-03-08T01:37:45.241500941Z,-43
,heltec_v3,53.57,window,66.12,1023.79,15.37,2026-03-08T01:38:15.913243888Z,-43
,heltec_v3,53.57,window,66.44,1023.77,14.89,2026-03-08T01:38:46.560530611Z,-43
,heltec_v3,54.48,window,66.01,1023.79,14.95,2026-03-08T01:39:17.200648128Z,-44
,heltec_v3,54.6,window,69,1023.78,14.95,2026-03-08T01:39:47.86734375Z,-43
,heltec_v3,53.79,window,67.7,1023.76,14.8,2026-03-08T01:40:18.529533097Z,-43
,heltec_v3,54.68,window,66.77,1023.76,15.05,2026-03-08T01:40:49.171187093Z,-42
,heltec_v3,54.54,window,67.69,1023.75,15.21,2026-03-08T01:41:19.823382955Z,-41
,heltec_v3,54.34,window,66.07,1023.75,15.25,2026-03-08T01:41:50.476396924Z,-41
,heltec_v3,54.13,window,68.26,1023.75,15.24,2026-03-08T01:42:21.134346382Z,-41
,heltec_v3,54.37,window,67.24,1023.71,15.09,2026-03-08T01:42:51.783134491Z,-43
,heltec_v3,53.75,window,67.77,1023.71,15.04,2026-03-08T01:43:22.435958028Z,-43
,heltec_v3,54.16,window,68.79,1023.71,14.99,2026-03-08T01:43:53.085926585Z,-43
,heltec_v3,54.08,window,83.55,1023.67,14.95,2026-03-08T01:44:23.740011852Z,-43
,heltec_v3,55,window,72.02,1023.66,14.7,2026-03-08T01:44:54.398388749Z,-43
,heltec_v3,55.35,window,68.76,1023.64,14.93,2026-03-08T01:45:25.072736979Z,-43
,heltec_v3,54.57,window,68.26,1023.68,15.26,2026-03-08T01:45:55.702375076Z,-43
,heltec_v3,53.69,window,67.34,1023.6,15.34,2026-03-08T01:46:26.340882621Z,-43
,heltec_v3,54.63,window,68.39,1023.6,14.76,2026-03-08T01:46:56.978792096Z,-42
,heltec_v3,55.92,window,64.68,1023.63,14.52,2026-03-08T01:47:27.63228769Z,-42
,heltec_v3,55.47,window,67.9,1023.61,14.73,2026-03-08T01:47:58.292940561Z,-42
,heltec_v3,56.11,window,65.42,1023.63,14.44,2026-03-08T01:48:28.988270862Z,-43
