#group,false,false,false,false,false
#datatype,double,string,string,string,dateTime:RFC3339
#default,,,,,
,air_quality_band,air_quality_text,source,station,time
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:08:57.953693147Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:13:58.71631443Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:19:00.555803783Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:24:01.420345018Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:29:04.435167366Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:34:05.518816151Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:39:07.496735817Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:44:08.289770875Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:49:08.921251767Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:54:11.613811276Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T21:59:12.320959506Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:04:12.985072857Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:09:13.756377456Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:14:15.220086243Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:19:16.057637288Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:24:16.704417203Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:29:17.391759791Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:34:18.171584505Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:39:19.174252154Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:44:19.797356652Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:49:22.940271386Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:54:23.609582041Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T22:59:24.322972577Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:04:25.021330262Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:09:25.716280915Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:14:26.709248117Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:19:27.527629683Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:24:28.310416066Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:29:29.057691073Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:34:29.847088235Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:39:30.494690066Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:44:31.237383671Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:49:31.938845914Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-09T23:54:32.529922886Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:09:36.644742098Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:19:38.00389Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:24:38.659088826Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:44:41.268595468Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:49:41.866692277Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:54:42.599462774Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T00:59:45.702532352Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:04:46.382795738Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:09:47.030039967Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:14:47.749144222Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:19:48.451039042Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:24:49.961160097Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:29:50.622598691Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:34:51.250648226Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:39:51.913608531Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:44:52.531592024Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:49:54.218116844Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:54:54.827438799Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T01:59:55.43372111Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T02:04:57.727511506Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T02:10:01.821617513Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T02:15:02.621683384Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T02:20:03.269955319Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T02:25:03.879828873Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T22:58:35.072799302Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:03:35.800761856Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:08:36.489036882Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:13:37.134585015Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:18:38.298294265Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:23:39.054278214Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:28:39.69186633Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:33:40.599692801Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:38:41.341701284Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:43:42.122798663Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:48:42.836094493Z
